title,company,location,time,link
품질관리팀TEST업무 인원모집 (생산직군),㈜테키스트,경기 안성시 외,~05/03(화),http://www.jobkorea.co.kr/Recruit/GI_Read/38115216
[미니게이트] SoftwareTESTEngineer : QA/QC 채용,㈜미니게이트,서울 강남구,~07/14(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38087097
(주)포인트모바일 DQA팀 SQATEST엔지니어 모집,㈜포인트모바일,서울 금천구 외,~05/14(토),http://www.jobkorea.co.kr/Recruit/GI_Read/38075672
Mechatronics Development &TestEngineer,써모피셔사이언티픽 코리아,경기 용인시,~04/24(일),http://www.jobkorea.co.kr/Recruit/GI_Read/38012737
IT R&D과제 SW QATest담당자 모집,엠아이큐브솔루션㈜,서울 서초구,~04/30(토),http://www.jobkorea.co.kr/Recruit/GI_Read/37989731
[외국계]TestEngineer 채용(신입.경력),지멘스헬시니어스㈜,경북 포항시,~04/22(금),http://www.jobkorea.co.kr/Recruit/GI_Read/37955152
[역삼/외국계 IT 컨설팅사] Automotive AutomationTestEngineer,아데코코리아,서울 강남구,~04/29(금),http://www.jobkorea.co.kr/Recruit/GI_Read/37902965
(주)제주반도체 PE그룹Test& Product Engineer 경력직원 채용(판교 근무),㈜제주반도체,경기 성남시,~06/16(목),http://www.jobkorea.co.kr/Recruit/GI_Read/37781613
[경력] 전장 관련 SWTest(QA) 엔지니어를 모십니다,㈜인피닉,경기 수원시 외,~04/29(금),http://www.jobkorea.co.kr/Recruit/GI_Read/38039469
채널개발(디지털플랫폼 품질관리/QA/TEST) 경력직 채용,㈜애큐온저축은행,서울 강남구,~05/07(토),http://www.jobkorea.co.kr/Recruit/GI_Read/37672782
"명동역 보건복지부 차세대 사회보장정보시스템 구축 OLAP, MSTR, 개발 및Test가능자를 모집 합니다. (k07)",㈜케이씨엠에스,서울 중구,~04/21(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38124929
반도체TEST엔지니어 신입사원 채용,LB세미콘㈜,경기 평택시 외,~07/18(월),http://www.jobkorea.co.kr/Recruit/GI_Read/38115196
TESTEngineering 경력사원 채용,LB세미콘㈜,경기 평택시,~06/01(수),http://www.jobkorea.co.kr/Recruit/GI_Read/37625771
현대/기아 내비게이션 단말기 시스템평가TEST(QA)(경력),㈜매스코,경기 안양시,~05/06(금),http://www.jobkorea.co.kr/Recruit/GI_Read/38139449
[나이키코리아/강남] NIKE Technology Procurement andTestAssistant 채용,㈜제니엘,서울 강남구 외,~04/21(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38133637
"Engineer for ELIUM (프랑스계 화학회사): LabTest, Customer Support, Business Development",아케마,서울 성동구,~07/19(화),http://www.jobkorea.co.kr/Recruit/GI_Read/38128861
[역삼역/신입가능] 독일계 자동차 기업TestEngineer 채용,맨파워코리아,서울 강남구 외,~07/18(월),http://www.jobkorea.co.kr/Recruit/GI_Read/38125846
R&D 채용연계형 석사 신입 인턴십 수시채용 (Test기술),LX세미콘,대전 유성구 외,~05/01(일),http://www.jobkorea.co.kr/Recruit/GI_Read/38101729
채용연계형 학사 신입 인턴십 수시채용 (Test기술),LX세미콘,서울 서초구 외,~05/01(일),http://www.jobkorea.co.kr/Recruit/GI_Read/38100269
RF ICs Design & Layout /Test& Application Engineers 신입/경력 모집,베렉스㈜,서울 강남구,~07/14(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38085365
[한빗코]가상자산 거래소 QATEST엔지니어 경력직 채용,플루토스디에스㈜,서울 강남구,~07/14(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38084557
Software Engineer inTest(Blockchain/NFT),라인넥스트,경기 성남시,~07/14(목),http://www.jobkorea.co.kr/Recruit/GI_Read/38082825
반도체 WaferTestO/P 모집,㈜씨에스이,충북 음성군 외,상시채용,http://www.jobkorea.co.kr/Recruit/GI_Read/38077696
"전자 전기 기계 부품 기술 영업 (FA 커넥터, 반도체testsocket, 특수 전선, 슬립링, AC servo & BLDC Motor (master controller & drive, HMI)",샘트라인터내셔널,서울 금천구,~07/12(화),http://www.jobkorea.co.kr/Recruit/GI_Read/38053952
반도체Test전문기업 부설연구소 연구원(신입 및 경력) 채용,NOVASEMI㈜,인천 부평구,~07/11(월),http://www.jobkorea.co.kr/Recruit/GI_Read/38045659
전기안전(Safety)/신뢰성/ EMCTestEngineer 모집,㈜코스텍규격연구소,경기 화성시,~05/11(수),http://www.jobkorea.co.kr/Recruit/GI_Read/38033485
"품질관리부 [제품TEST,제품개발,REPORT작성] 정규직 모집",㈜티오텍,경기 부천시,~07/10(일),http://www.jobkorea.co.kr/Recruit/GI_Read/38029443
